name,sku,barcode,description,category,brand,basePrice,costPrice,stockQuantity,lowStockThreshold
HDMI 2.1 Cable 2m,ACC-GEN-HDMI2M,4011000000024,High-speed 8K HDMI cable,Accessories,Logitech,1500,800,60,10
USB-C to USB-C Cable 1m,ACC-GEN-USBC1M,4011000000031,60W USB-C charging and data cable,Accessories,Logitech,1200,600,70,10
Thermal Paste Tube 4g,ACC-GEN-TPASTE,4011000000048,High-performance CPU thermal compound,Accessories,Cooler Master,2500,1500,40,8
TP-Link Archer C6 Router,NET-TPL-C6,4012000000016,AC1200 dual-band WiFi router,Networking,TP-Link,9500,7500,18,4
TP-Link 8-Port Gigabit Switch,NET-TPL-SW8,4012000000023,8-port desktop gigabit ethernet switch,Networking,TP-Link,6500,5000,20,4
APC Back-UPS 650VA,UPS-APC-650,4013000000015,650VA line-interactive UPS,UPS,APC,22000,18000,14,3
APC Back-UPS 1100VA,UPS-APC-1100,4013000000022,1100VA line-interactive UPS,UPS,APC,38000,31000,9,3
Dell Inspiron 15 3530 Laptop,LAP-DELL-INS15,4014000000014,15.6-inch Core i5 8GB 512GB laptop,Laptops,Dell,245000,215000,8,2
HP Pavilion 14 Laptop,LAP-HP-PAV14,4014000000021,14-inch Ryzen 5 16GB 512GB laptop,Laptops,HP,215000,188000,7,2
Lenovo IdeaPad Slim 3 Laptop,LAP-LEN-IDEA3,4014000000038,15.6-inch Core i3 8GB 256GB laptop,Laptops,Lenovo,165000,142000,10,3
ASUS TUF Gaming F15 Laptop,LAP-ASUS-TUFF15,4014000000045,15.6-inch i7 RTX 4060 gaming laptop,Laptops,ASUS,320000,285000,5,2
Windows 11 Home License,SW-MS-WIN11H,4015000000013,Genuine Windows 11 Home retail license,Software,Intel,42000,36000,30,5
Microsoft Office 2021 Home,SW-MS-OFF2021,4015000000020,Office Home and Student 2021 license,Software,Intel,38000,33000,25,5
Gaming PC Ryzen 5 RTX 4060 Build,PC-BUILD-R5-4060,4016000000012,Prebuilt gaming desktop Ryzen 5 16GB RTX 4060,Processors,AMD,385000,340000,4,1
